"Lat","Long","Score"
33.5791666666284,-86.9125000001523,241035.45
32.237499999967,-87.5625000001498,124650.12
34.8374999999566,-86.5208333334872,116437.888
32.2291666666338,-87.6875000001492,113228.122
32.2624999999669,-87.5958333334829,100593.036
33.5874999999617,-86.904166666819,98448.24
32.2541666666337,-87.5541666668165,97753.968
32.2041666666339,-87.6625000001494,97271.537
33.3124999999628,-89.6041666668083,96116.904
32.2208333333004,-87.6875000001492,95150.762
32.2291666666338,-87.6958333334825,94172.162
34.8291666666234,-86.5125000001539,93092.208
34.8291666666234,-86.5208333334872,92848.767
32.2291666666338,-87.6041666668162,91174.174
34.8374999999566,-86.5125000001539,90799.008
33.5791666666284,-86.8958333334857,90784.98
32.1958333333005,-87.6875000001492,90531.232
32.2291666666338,-87.6791666668159,89769.246
32.2458333333004,-87.5541666668165,87017.256
32.2208333333004,-87.6958333334825,86648.086
32.237499999967,-87.6791666668159,85459.094
32.1958333333005,-87.6625000001494,80575.022
33.5874999999617,-86.9208333334856,79119.46
32.1958333333005,-87.6791666668159,77052.756
32.1041666666342,-87.6208333334828,73864.44
32.2124999999672,-87.5791666668163,72417.389
32.2124999999672,-87.6875000001492,72350.344
33.5874999999617,-86.8958333334857,72016.17
33.095833333297,-90.6291666668041,71488.494
32.2041666666339,-87.5791666668163,71135.603
34.8374999999566,-86.5041666668207,70916.672
32.2458333333004,-87.5708333334831,70703.712
32.2291666666338,-87.7041666668159,70295.554
32.2208333333004,-87.7041666668159,70084.504
32.2124999999672,-87.6958333334825,70028.288
32.512499999966,-90.5125000001379,69719.825
32.2291666666338,-87.7208333334824,69431.136
32.237499999967,-87.5791666668163,69383.454
32.2708333333003,-87.5458333334831,69240.18
33.2958333332962,-89.5791666668083,68840.896
32.2208333333004,-87.6791666668159,68821.354
32.2291666666338,-87.5958333334829,68312.678
32.1874999999673,-87.6875000001492,67233.364
35.0791666666223,-77.0291666668585,67027.55
32.4708333332995,-88.0625000001478,65802.138
32.2041666666339,-87.6541666668161,64934.738
34.84583333329,-86.5041666668207,64842.83
32.3541666666332,-91.5208333334672,64469.73
32.2624999999669,-87.6541666668161,64238.964
